Material	Parameter	Result	Unit	Production_date	Hersteller	TS_code	IS_code
SMC	Iodine	27	µg/100g	1-4-2018	HOCHWALD	130020290	120016450
SMC	Iodine	21	µg/100g	24-5-2018	HOCHWALD	130020290	120016450
SMC	Iodine	29	µg/100g	20-6-2018	HOCHWALD	130020290	120016450
SMC	Iodine	24	µg/100g	24-7-2018	HOCHWALD	130020290	120016450
SMC	Iodine	29	µg/100g	29-8-2018	HOCHWALD	130020290	120016450
SMC	Iodine	28	µg/100g	14-9-2018	HOCHWALD	130020290	120016450
SMC	Iodine	27	µg/100g	15-10-2018	HOCHWALD	130020290	120016450
SMC	Iodine	25	µg/100g	20-11-2018	HOCHWALD	130020290	120016450
SMC	Iodine	28	µg/100g	17-12-2018	HOCHWALD	130020290	120016450
SMC	Iodine	31	µg/100g	16-1-2019	HOCHWALD	130020290	120016450
SMC	Iodine	22	µg/100g	19-2-2019	HOCHWALD	130020290	120016450
